Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2018 Hyundai Elantra,foreign,15534.0,4-cylinder,4.8,"GH¢ 255,250","Accra, Haatso",2018
2020 Land Rover range rover Hse,local,64622.0,6-cylinder,3.6,"GH¢ 744,900","Greater Accra, Airport",2020
2025 SUZUKI S-presso GL AMT,new,0.0,3-cylinder,4.8,"GH¢ 155,000","Greater Accra, Airport",2025
2025 SUZUKI Jimny,new,0.0,4-cylinder,4.9,"GH¢ 346,000","Greater Accra, Airport",2025
2025 SUZUKI S-presso GL AMT,new,0.0,3-cylinder,4.8,"GH¢ 155,000","Greater Accra, Airport",2025
2025 Mitsubishi L200,new,0.0,4-cylinder,4.9,"GH¢ 378,480","Greater Accra, Airport",2025
2025 Mitsubishi L200,new,0.0,4-cylinder,4.8,"GH¢ 378,480","Greater Accra, Airport",2025
2016 Mercedes-Benz C 300,foreign,25000.0,4-cylinder,4.9,"GH¢ 357,250","Accra, Haatso",2016
2025 SUZUKI S-presso GL AMT,new,0.0,3-cylinder,4.9,"GH¢ 155,000","Greater Accra, Airport",2025
2025 Mitsubishi L200,new,0.0,4-cylinder,4.8,"GH¢ 390,000","Greater Accra, Airport",2025
2025 Mitsubishi L200,new,0.0,4-cylinder,4.8,"GH¢ 379,000","Greater Accra, Airport",2025
2025 SUZUKI Grand Vitara,new,9320.0,4-cylinder,4.8,"GH¢ 330,000","Greater Accra, Airport",2025
2018 Honda Accord,foreign,47224.0,4-cylinder,3.0,"GH¢ 275,650","Accra, Haatso",2018
2025 Mitsubishi Eclipse Cross 4x2,local,0.0,4-cylinder,4.9,"GH¢ 429,000","Greater Accra, Airport",2025
2018 Honda Accord,local,67000.0,4-cylinder,4.8,"GH¢ 294,010","Accra, Haatso",2018
2014 Toyota Rav4,foreign,52195.0,4-cylinder,3.0,"GH¢ 379,690","Greater Accra, Tema",2014
2019 Mitsubishi OUTLANDER,foreign,49709.0,4-cylinder,3.0,"GH¢ 420,490","Greater Accra, Tema",2019
2016 Honda Pilot,foreign,47224.0,6-cylinder,3.0,"GH¢ 408,250","Greater Accra, Tema",2016
2021 Acura RDX,foreign,45000.0,4-cylinder,3.0,"GH¢ 591,850","Greater Accra, Tema",2021
2016 Toyota corolla,foreign,47224.0,4-cylinder,3.0,"GH¢ 188,950","Greater Accra, Nungua",2016
