Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2018 Toyota Tacoma,foreign,12000.0,6-cylinder,3.0,"₦ 40,015,000","Lagos, Berger",2018
2013 Mercedes-Benz C 300,foreign,127000.0,6-cylinder,3.0,"₦ 18,015,000","Abuja, CBD",2013
2014 Toyota RAV4,foreign,60000.0,4-cylinder,3.0,"₦ 22,515,000","Lagos, Lekki",2014
2009 Toyota Venza,local,201000.0,4-cylinder,1.6,"₦ 12,515,000","Lagos, Ipaja",2009
2020 Lexus RX 350,foreign,75000.0,6-cylinder,3.0,"₦ 61,015,000","Lagos, Agungi, Lekki",2020
2015 Mercedes-Benz GLK 350,foreign,67000.0,6-cylinder,3.0,"₦ 27,015,000","Abuja, Gwarinpa",2015
2013 Toyota Venza,foreign,74000.0,6-cylinder,3.0,"₦ 25,515,000","Abuja, Gwarinpa",2013
2010 Lexus ES 350,local,99000.0,4-cylinder,3.0,"₦ 12,015,000","Lagos, Lagos Mainland",2010
2021 Mercedes-Benz GLE 53 AMG,foreign,5592.0,6-cylinder,3.0,"₦ 185,015,008","Lagos, Lekki",2021
2014 Hyundai Santa FE,foreign,99419.0,8-cylinder,3.0,"₦ 18,000,000","Lagos, Ikate, Lekki",2014
2014 Lexus IS 350,foreign,52000.0,6-cylinder,3.0,"₦ 32,015,000","Abuja, Gwarinpa",2014
2014 Hyundai Santa Fe,foreign,99419.0,8-cylinder,3.0,"₦ 18,000,000","Lagos, Ikate, Lekki",2014
2021 Mercedes-Benz GLE 53 AMG,foreign,7000.0,6-cylinder,3.0,"₦ 130,015,000","Lagos, Ikate, Lekki",2021
2013 Ford Edge,foreign,170877.0,4-cylinder,3.8,"₦ 12,800,000","Lagos, Ogba",2013
2010 Toyota Camry,foreign,186000.0,4-cylinder,3.0,"₦ 10,515,000","Abuja, Kubuwa Expressway",2010
2019 Lexus RX 350,foreign,62137.0,6-cylinder,3.0,"₦ 31,015,000","Lagos, Ikorodu",2019
2015 Mercedes-Benz C 300,foreign,117000.0,6-cylinder,3.0,"₦ 25,000,000","Lagos, Lagos Island",2015
2010 Lexus GS 350,foreign,86000.0,6-cylinder,3.0,"₦ 13,015,000","Lagos, Magodo",2010
2003 Toyota Camry,foreign,168000.0,6-cylinder,3.0,"₦ 7,015,000","Lagos, Ajah",2003
2016 Mercedes-Benz GLE 450,foreign,96312.0,6-cylinder,4.3,"₦ 63,000,000","Ikate, Lekki,Lagos, Ikate, Lekki",2016
2007 Toyota Camry,foreign,177000.0,6-cylinder,4.6,"₦ 11,300,000","Lagos, Iju",2007
2011 Toyota corolla,local,63379.0,4-cylinder,3.0,"₦ 7,865,000","Lagos, Ipaja",2011
2010 Mercedes-Benz E 350,foreign,93205.0,6-cylinder,3.0,"₦ 18,000,000","Lagos, Lekki",2010
2016 Toyota Camry,foreign,11000.0,4-cylinder,3.0,"₦ 22,015,000","Lagos, Mushin",2016
2014 Toyota Camry,foreign,83885.0,4-cylinder,4.8,"₦ 15,000,000","Lagos, Lekki",2014
2010 Toyota RAV4,foreign,21000.0,4-cylinder,3.0,"₦ 14,700,000","Lagos, Mushin",2010
2014 Toyota Corolla,local,34000.0,4-cylinder,3.0,"₦ 12,015,000","Abuja, Gwarinpa",2014
2024 Peugeot 3008,new,1000.0,6-cylinder,5.0,"₦ 50,515,000","Lagos, Ikeja",2024
2019 Mercedes-Benz GLC 300,foreign,127000.0,4-cylinder,3.0,"₦ 58,515,000","Lagos, Surulere",2019
2017 Toyota Yaris IA,foreign,164000.0,4-cylinder,3.0,"₦ 17,015,000","Abuja, Gwarinpa",2017
2007 Lexus IS 250,local,6213.0,6-cylinder,3.0,"₦ 7,800,000","Lagos, Alimosho",2007
2018 Lexus RX 350,foreign,621.0,6-cylinder,5.0,"₦ 49,910,000","Abuja, Wuse 2",2018
2014 Toyota Venza,local,179000.0,4-cylinder,3.3,"₦ 15,200,000","Lagos, Ifako-Ijaiye",2014
2013 Honda Accord Crosstour,foreign,24000.0,6-cylinder,3.0,"₦ 14,015,000","Lagos, Berger",2013
2018 Toyota Highlander,foreign,1000.0,6-cylinder,3.0,"₦ 45,015,000","Lagos, Surulere",2018
2021 Toyota Highlander,foreign,12000.0,6-cylinder,3.0,"₦ 65,000,000","Lagos, Anthony",2021
2011 Hyundai Sonata,foreign,236000.0,4-cylinder,0.3,"₦ 10,500,000","Lagos, Ojodu Berger",2011
2017 Lexus RX 350,foreign,1000.0,6-cylinder,3.0,"₦ 50,015,000","Lagos, Surulere",2017
2015 Lexus RX 350,foreign,5592.0,6-cylinder,3.0,"₦ 35,015,000","Lagos, Berger Mkt",2015
